isbn13,isbn10,title,author,publisher,description
9780735224650,,THE SEARCHER,Tana French,Viking,"After a divorce, a former Chicago police officer resettles in an Irish village where a boy goes missing."
9780062667632,,LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,A family vacation in an isolated part of Long Island is thrown into confusion when the home’s owners return claiming New York City is having a blackout.
9781250319180,,WIND AND TRUTH,Brandon Sanderson,Tor,The fifth book in the Stormlight Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex.
9780802158741,,SMALL THINGS LIKE THESE,Claire Keegan,Grove,A coal merchant discovers something that causes turmoil in a small Irish town controlled by the church in 1985; the basis of the film.
9780593190265,,ALL FOURS,Miranda July,Riverhead,A semi-famous artist leaves her family behind to drive herself across country but takes a detour to a nondescript motel.
9780316402682,,THE HOUSE OF CROSS,James Patterson,"Little, Brown",The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.
9781668003138,,NOW OR NEVER,Janet Evanovich,Atria,"The 31st book in the Stephanie Plum series. Caught between two fiancés and not knowing what to do, Plum gets back to business as a bounty hunter."
9780525480488,,THRAWN: ALLIANCES,Timothy Zahn,Del Rey,A Star Wars saga. Darth Vader and Grand Admiral Thrawn join forces to serve Emperor Palpatine.
9780316412698,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.
9780062834829,,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order."
9781501180989,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.
9780525522775,,GHOSTED,Rosie Walsh,Pamela Dorman/Viking,"When Eddie disappears, Sarah realizes they did not share the truth with each other."
9780399181252,,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.
9780316375269,,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.
9781476789415,,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.
9780525655527,,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.
9780399178924,,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.
9781476778440,,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.
